337 [GEN] Voice Marker
730 [GEN] Quicksword Rachel
731 [GEN] Maldron the Assassin
732 [GEN] Evangelist Scion Waslo
735 [GEN] Swashbuckling Matelas
736 [GEN] Swashbuckling Matelas
737 [GEN] Swashbuckling Matelas
738 [GEN] Swashbuckling Matelas
740 [GEN] Carhillion of the Fold
741 [GEN] Steelheart Ellie
742 [GEN] Steel-willed Lorrie
743 [GEN] Drifter Swordsman Aidel
744 [GEN] Steel-willed Lorrie
745 [GEN] Drifter Swordsman Aidel
903 [GEN] Fume Knight
904 [GEN] Sir Alonne
905 [GEN] Blue Smelter Demon
977 [GEN] Forlorn (Scythe)
1000 [GEN] Ashen Warrior
1100 [GEN] Ashen Warrior
1101 [GEN] Ashen Warrior
1102 [GEN] Ashen Warrior
1103 [GEN] Ashen Warrior
1200 [GEN] Possessed Armor
1300 [GEN] Ashen Warrior
1301 [GEN] Ashen Warrior
1310 [GEN] Ashen Warrior
1330 [GEN] Ashen Warrior
1331 [GEN] Ashen Warrior
1332 [GEN] Ashen Warrior
1500 [GEN] Ashen Warrior
1510 [GEN] Ashen Warrior
1600 [GEN] Barrel Carrier
1601 [GEN] Barrel Carrier
1602 [GEN] Barrel Carrier
1603 [GEN] Barrel Carrier
1604 [GEN] Barrel Carrier
1605 [GEN] Barrel Carrier
1700 [GEN] Possessed Armor
1710 [GEN] Barrel Carrier
1711 [GEN] Barrel Carrier
1750 [GEN] Ashen Warrior
1800 [GEN] Ashen Warrior
1801 [GEN] Ashen Warrior
1910 [GEN] Possessed Armor
1911 [GEN] Possessed Armor
2000 [GEN] Iron Warrior
2100 [GEN] Barrel Carrier
2101 [GEN] Barrel Carrier
2102 [GEN] Barrel Carrier
2103 [GEN] Barrel Carrier
2111 [GEN] Ashen Warrior
2120 [GEN] Ashen Warrior
2121 [GEN] Ashen Warrior
2124 [GEN] Ashen Warrior
2130 [GEN] Ashen Warrior
2400 [GEN] Possessed Armor
2500 [GEN] Fume Sorcerer
2501 [GEN] Fume Sorcerer
2510 [GEN] Ashen Warrior
2511 [GEN] Ashen Warrior
2512 [GEN] Ashen Warrior
2600 [GEN] Ashen Warrior
2601 [GEN] Ashen Warrior
2602 [GEN] Ashen Warrior
2603 [GEN] Ashen Warrior
2604 [GEN] Ashen Warrior
2700 [GEN] Ashen Warrior
2800 [GEN] Ashen Warrior
2801 [GEN] Ashen Warrior
2805 [GEN] Possessed Armor
2810 [GEN] Ashen Warrior
2811 [GEN] Ashen Warrior
2820 [GEN] Ashen Warrior
2821 [GEN] Ashen Warrior
2822 [GEN] Ashen Warrior
2830 [GEN] Possessed Armor
2900 [GEN] Ashen Warrior
2901 [GEN] Ashen Warrior
2911 [GEN] Ashen Warrior
2912 [GEN] Ashen Warrior
2920 [GEN] Possessed Armor
3000 [GEN] Barrel Carrier
3001 [GEN] Barrel Carrier
3002 [GEN] Barrel Carrier
3003 [GEN] Barrel Carrier
3004 [GEN] Barrel Carrier
3020 [GEN] Iron Warrior
3030 [GEN] Fume Sorcerer
3031 [GEN] Fume Sorcerer
3040 [GEN] Fume Sorcerer
3041 [GEN] Fume Sorcerer
3100 [GEN] Barrel Carrier
3101 [GEN] Barrel Carrier
4000 [GEN] Ashen Warrior
4100 [GEN] Ashen Warrior
4120 [GEN] Ashen Warrior
4121 [GEN] Ashen Warrior
4200 [GEN] Ashen Warrior
4400 [GEN] Ashen Warrior
4401 [GEN] Ashen Warrior
4500 [GEN] Iron Warrior
4600 [GEN] Possessed Armor
4601 [GEN] Possessed Armor
4610 [GEN] Ashen Warrior
4611 [GEN] Ashen Warrior
4700 [GEN] Iron Warrior
4800 [GEN] Iron Warrior
4901 [GEN] Barrel Carrier
4903 [GEN] Barrel Carrier
4904 [GEN] Barrel Carrier
4905 [GEN] Barrel Carrier
4906 [GEN] Barrel Carrier
5000 [GEN] Iron Warrior
5001 [GEN] Iron Warrior
5010 [GEN] Iron Warrior
5110 [GEN] Barrel Carrier
5111 [GEN] Barrel Carrier
5130 [GEN] Possessed Armor
5201 [GEN] Ashen Warrior
5203 [GEN] Ashen Warrior
5210 [GEN] Barrel Carrier
5211 [GEN] Barrel Carrier
5220 [GEN] Barrel Carrier
5230 [GEN] Possessed Armor
5231 [GEN] Possessed Armor
5232 [GEN] Possessed Armor
5501 [GEN] Ashen Crawler
5502 [GEN] Ashen Crawler
5600 [GEN] Ashen Crawler
5601 [GEN] Ashen Crawler
5602 [GEN] Ashen Crawler
5610 [GEN] Ashen Crawler
