337 [LOC:337] Voice Marker
730 [LOC:730] Quicksword Rachel
731 [LOC:731] Maldron the Assassin
732 [LOC:732] Evangelist Scion Waslo
735 [LOC:735] Swashbuckling Matelas
736 [LOC:736] Swashbuckling Matelas
737 [LOC:737] Swashbuckling Matelas
738 [LOC:738] Swashbuckling Matelas
740 [LOC:740] Carhillion of the Fold
741 [LOC:741] Steelheart Ellie
742 [LOC:742] Steel-willed Lorrie
743 [LOC:743] Drifter Swordsman Aidel
744 [LOC:744] Steel-willed Lorrie
745 [LOC:745] Drifter Swordsman Aidel
903 [LOC:903] Fume Knight
904 [LOC:904] Sir Alonne
905 [LOC:905] Blue Smelter Demon
977 [LOC:977] Forlorn (Scythe)
1000 [LOC:1000] Ashen Warrior
1100 [LOC:1100] Ashen Warrior
1101 [LOC:1101] Ashen Warrior
1102 [LOC:1102] Ashen Warrior
1103 [LOC:1103] Ashen Warrior
1200 [LOC:1200] Possessed Armor
1300 [LOC:1300] Ashen Warrior
1301 [LOC:1301] Ashen Warrior
1310 [LOC:1310] Ashen Warrior
1330 [LOC:1330] Ashen Warrior
1331 [LOC:1331] Ashen Warrior
1332 [LOC:1332] Ashen Warrior
1500 [LOC:1500] Ashen Warrior
1510 [LOC:1510] Ashen Warrior
1600 [LOC:1600] Barrel Carrier
1601 [LOC:1601] Barrel Carrier
1602 [LOC:1602] Barrel Carrier
1603 [LOC:1603] Barrel Carrier
1604 [LOC:1604] Barrel Carrier
1605 [LOC:1605] Barrel Carrier
1700 [LOC:1700] Possessed Armor
1710 [LOC:1710] Barrel Carrier
1711 [LOC:1711] Barrel Carrier
1750 [LOC:1750] Ashen Warrior
1800 [LOC:1800] Ashen Warrior
1801 [LOC:1801] Ashen Warrior
1910 [LOC:1910] Possessed Armor
1911 [LOC:1911] Possessed Armor
2000 [LOC:2000] Iron Warrior
2100 [LOC:2100] Barrel Carrier
2101 [LOC:2101] Barrel Carrier
2102 [LOC:2102] Barrel Carrier
2103 [LOC:2103] Barrel Carrier
2111 [LOC:2111] Ashen Warrior
2120 [LOC:2120] Ashen Warrior
2121 [LOC:2121] Ashen Warrior
2124 [LOC:2124] Ashen Warrior
2130 [LOC:2130] Ashen Warrior
