Name                            FileName                            ElementSize
AREA_PARAM                      AreaParam.param                              80
ARMOR_HANDS_UP_F_PARAM          ArmorHandsUpFParam.param                     12
ARMOR_PARAM                     ArmorParam.param                             84
ARMOR_REINFORCE_PARAM           ArmorReinforceParam.param                   116
ARROW_PARAM                     ArrowParam.param                             92
ATTACK_CATEGORY_PARAM           PlayerAttackCategoryParam.param              24
ATTACK_DIRECTION_PARAM          PlayerAttackDirectionParam.param             12
ATTACK_PARAM                    PlayerAttackParam.param                      44
ATTACK_RANGE_PARAM              PlayerAttackRangeParam.param                 12
BEHAVIOR_PARAM                  EnemyBehaviorParam.param                    880
BEHAVIOR_PARAM                  EnemyBehaviorSecondParam.param              880
BEHAVIOR_PARAM                  EnemyBehaviorThirdParam.param               880
BOSS_BATTLE_PARAM               BossBattleParam.param                        68
BOSS_ENEMY_GENERATE_PARAM       BossEnemyGenerateParam.param                 16
BOSS_PARAM                      BossParam.param                              68
BOSS_PARTS_MODEL_PARAM          BossPartsModelParam.param                    40
BOSS_PARTS_PARAM                BossPartsParam.param                         12
BULLET_ATTACH_PARAM             BulletAttachParam.param                     208
BULLET_PARAM                    BulletParam.param                           320
BULLET_PARAM                    EnemyBulletParam.param                      320
BULLET_PARAM                    SystemBulletParam.param                     320
CAMERA_ACTION_PARAM             CameraActionParam.param                      32
CAMERA_EVENT_PARAM              CameraEventParam.param                       60
CAMERA_EXFOLLOW_IMPACT_PARAM    CameraExFollowImpactParam.param              32
CAMERA_EXFOLLOW_PARAM           CameraExFollowParam.param                   308
CAMERA_FREE_PARAM               CameraFreeParam.param                        12
CAMERA_GPAPPLER_PARAM           CameraGrapplerParam.param                    36
CAMERA_MENU_PARAM               CameraMenuParam.param                       152
CAMERA_NORMAL_PARAM             CameraNormalParam.param                      88
CAMERA_SUBJECTIVE_PARAM         CameraSubjectiveParam.param                 104
CHR_ATTACK_PARAM                ChrAttackParam.param                        564
CHR_ATTACK_PARAM                EnemyAttackParam.param                      564
CHR_COLOR_PARAM                 EnemyColorParam.param                       192
CHR_COMMON_PARAM                ChrCommonParam.param                        908
CHR_COMMON_PARAM                EnemyCommonParam.param                      908
CHR_CULLING_PARAM               EnemyCullingParam.param                     128
CHR_EDIT_PARAM_BODY_PRESET      ChrEditParamBodyScale.param                  20
CHR_EMISSIVE_PARAM              ChrEmissiveParam.param                       12
CHR_EQUIP_LOAD_COMMON_PARAM     ChrEquipLoadCommonParam.param                12
CHR_EQUIP_LOAD_PARAM            ChrEquipLoadParam.param                      20
CHR_EQUIP_WEAPON_PARAM          ChrEquipWeaponParam.param                    76
CHR_EQUIP_WEAPON_PARAM          EnemyEquipWeaponParam.param                  76
CHR_FULLBODY_SFX_PARAM          ChrFullBodySfxParam.param                    28
CHR_GROWTH_PARAM                PlayerChrGrowthParam.param                  156
CHR_LEVEL_UP_SOULS_PARAM        PlayerLevelUpSoulsParam.param                12
CHR_MODEL_PARAM                 ChrModelParam.param                           4
CHR_MOVE_PARAM                  ChrMoveParam.param                          772
CHR_MOVE_PARAM                  EnemyMoveParam.param                        772
CHR_MULTIPLAY_PARAM             ChrMultiplayParam.param                      24
CHR_NET_PHANTOM_SOUL_RATE_PARAM ChrNetworkPhantomSoulRateParam.param         72
CHR_NETWORK_PHANTOM_PARAM       ChrNetworkPhantomParam.param                 96
CHR_PARAM                       ChrParam.param                              360
CHR_PARAM                       EnemyParam.param                            360
CHR_PHANTOM_PARAM               ChrPhantomParam.param                        32
CHR_POINT_WIND_PARAM            ChrPointWindParam.param                      28
CHR_ROUND_DAMAGE_PARAM          ChrRoundDamageParam.param                    80
CHR_ROUND_DROP_SOUL_PARAM       ChrRoundDropSoulParam.param                  16
CHR_WET_ASPECT_PARAM            ChrWetAspectParam.param                      20
CHR_WET_PARAM                   ChrWetParam.param                            12
COMBO_BEHAVIOR_PARAM            EnemyComboBehaviorParam.param              1512
COMMON_ATTACK_PARAM             PlayerCommonAttackParam.param                24
COMMON_DAMAGE_PARAM             CommonDamageParam.param                     112
CRIMINAL_AND_DECEASED_PARAM     CriminalAndDeceasedParam.param               12
CUSTOM_ATTR_COST_PARAM          CustomAttrCostParam.param                   100
CUSTOM_ATTR_SPEC_PARAM          CustomAttrSpecParam.param                     4
DAMAGE_ADJUST_PARAM             DamageAdjustParam.param                     396
DAMAGE_ATTACK_TYPE_RATE_PARAM   DamageAttackTypeRateParam.param               8
DAMAGE_CTRL_PARAM               DamageCtrlParam.param                       192
DAMAGE_DEAD_MOTION_WEIGHT_PARAM DamageDeadMotionWeightParam.param             8
DAMAGE_EFFECT_CHARA_PARAM       DamageEffectCharaParam.param                120
DAMAGE_EFFECT_MAP_PARAM         DamageEffectMapParam.param                  152
DAMAGE_EFFECT_MATERIAL_PARAM    DamageEffectMaterialParam.param             576
DAMAGE_EFFECT_SE_PARAM          DamageEffectSeParam.param                    44
DAMAGE_EFFECT_SFX_PARAM         DamageEffectSfxParam.param                  116
DAMAGE_MOTION_WEIGHT_PARAM      DamageMotionLadderWeightParam.param           8
DAMAGE_MOTION_WEIGHT_PARAM      DamageMotionRopeWeightParam.param             8
DAMAGE_MOTION_WEIGHT_PARAM      DamageMotionWeightParam.param                 8
DAMAGE_MOTION_WEIGHT_PARAM      DeadDamageMotionWeightParam.param             8
DAMAGE_MOVEMENT_POWER_PARAM     DamageMovementPowerParam.param                8
DAMAGE_OBJ_ATTACK_ATTR_PARAM    DamageObjAttackAttrParam.param                4
DAMAGE_OVER_WRITE_PARAM         DamageOverWriteParam.param                   27
DAMAGE_PARAM                    EnemyDamageParam.param                      124
DAMAGE_PARAM                    PlayerDamageParam.param                     124
DAMAGE_PARAM                    SystemDamageParam.param                     124
DAMAGE_SFX_TRACE_DP_COLOR_PARAM DamageSfxTraceDummyPolyColorParam.param       4
DAMAGE_STYLE_RATE_PARAM         DamageStyleRateParam.param                    8
DAMAGE_WEAPON_TYPE_PARAM        DamageWeaponTypeDurabilityParam.param        20
DAMAGE_WEAPON_TYPE_PARAM        DamageWeaponTypeParam.param                  20
DAMAGE_WIND_CATE_PARAM          DamageWindCateParam.param                    16
DEAD_TYPE_PARAM                 DeadTypeParam.param                          48
DECAL_PARAM                     DecalParam.param                             40
DEMO_PARAM                      DemoParam.param                              44
DUAL_WIELDING_PERMISSION_PARAM  DualWieldingPermissionParam.param            27
ENEMY_ATTACK_MOVE_PARAM         EnemyAttackMoveParam.param                   56
ENEMY_DEFAULT_LOGIC_PARAM       EnemyDefaultLogicParam.param                 16
ENEMY_SHOT_SFX_PARAM            EnemyShotSfxParam.param                       8
EQUIP_CULLING_TARGET_PARAM      EquipCullingTargetParam.param                64
EQUIP_INTERFERE_PARAM           EquipInterfereParam.param                   148
ESTUS_FLASK_LV_DATA_PARAM       EstusFlaskLvDataParam.param                   8
ESTUS_FLASK_MAX_REINFORCE_PARAM EstusFlaskMaxReinforceParam.param             4
EVENT_COMMON_PARAM_FLOAT_ST     EventCommonParamFloat.param                   4
EVENT_COMMON_PARAM_ST           EventCommonParam.param                        4
EVENT_FLAG_LIST_PARAM           EventFlagListParam.param                      4
EZSTATE_SHARED_PARAM            LogicEzStateSharedParam.param                 4
FACE_EDIT_PARAM                 FaceEditParam.param                          84
FACE_EDIT_PARAM_COLOR_A_PRESET  FaceEditParamTatooColor.param                16
FACE_EDIT_PARAM_COLOR_PRESET    FaceEditParamEyeBrowColor.param              12
FACE_EDIT_PARAM_COLOR_PRESET    FaceEditParamEyeColor.param                  12
FACE_EDIT_PARAM_COLOR_PRESET    FaceEditParamHairColor.param                 12
FACE_EDIT_PARAM_COLOR_PRESET    FaceEditParamWhiskerColor.param              12
FACE_EDIT_PARAM_MONTAGE_CAMERA  FaceEditParamMontageCamera.param             28
FACE_EDIT_PARAM_RACE_PRESET     FaceEditParamRacePreset.param               324
FALLING_PARAM                   FallingParam.param                           32
FE_COLOR_PALETTE_PARAM          FeColorPalette.param                         12
FE_COLOR_SET_PARAM              FeColorSetParam.param                        16
FE_CONTROLLER_SETTING_PARAM     FeControllerSetting.param                    12
FE_HP_ST_GUAGE_SETTING_PARAM    FeHpStSetting.param                          52
FE_SCROLL_SPEED_PARAM           FeScrollSpeedParam.param                      4
FE_TIME_SETTING_PARAM           FeTimeSetting.param                           4
FE_WEAPON_THRESHOLD_PARAM       FeWeaponThreshold.param                      20
FOOT_EFFECT_SFX_PARAM           FootEffectSfxParam.param                    172
FOOT_EFFECT_WATER_SFX_PARAM     FootEffectWaterSfxParam.param                84
GRAB_PARAM                      GrabParam.param                             124
GROUND_MATERIAL_PARAM           GroundMaterialParam.param                    52
GUARD_LEVEL_MOTION_PARAM        GuardLevelMotionParam.param                   7
HIT_BACK_MATRIX_PARAM           HitBackMatrixParam.param                     32
HIT_BACK_PARAM                  HitBackParam.param                           40
HOLLOW_LEVEL_STATS_PARAM        HollowLevelStatsParam.param                  40
INVENTORY_BAG_COMMON_PARAM      InventoryBagCommonParam.param                 4
INVENTORY_BAG_REINFORCE_PARAM   InventoryBagReinforceParam.param              4
ITEM_LOT_PARAM                  ItemLotParam.param                          148
ITEM_LOT_PARAM2                 ItemLotParam2.param                         116
ITEM_LOT_PARAM2                 ItemLotParam2_Chr.param                     124
ITEM_LOT_PARAM2                 ItemLotParam2_Other.param                   124
ITEM_LOT_PARAM2                 ItemLotParam2_SvrEvent.param                124
ITEM_LOT_TICKET_PARAM           ItemLotTicketParam.param                     12
ITEM_LOT_WEIGHT_PARAM           ItemLotWeightParam.param                     52
ITEM_PARAM                      ItemParam.param                              84
ITEM_TYPE_PARAM                 ItemTypeParam.param                          28
ITEM_USAGE_PARAM                ItemUsageParam.param                          8
ITEM_USE_CHECK_DIALOG_PARAM     ItemUseCheckDialogParam.param                20
KEY_CONFIG_PARAM                KeyConfigParam.param                         76
KEY_GUIDE_PARAM                 KeyGuideParam.param                          28
LACK_OF_STATS_PARAM             PlayerLackOfStatsParam.param                 16
LEVELUP_STATUS_CALC_PARAM       LevelUpStatusCalcParam.param                  8
LOADING_DISPLAY_ITEM_PARAM      LoadingDisplayItemParam.param                 4
LOCK_ON_CAMERA_OFFSET_PARAM     LockOnCameraOffsetParam.param                68
LOCK_ON_PARAM                   LockOnParam.param                            32
LOCK_TARGET_PARAM               LockTargetParam.param                         8
LOGIC_COM_PARAM                 LogicComParam.param                         128
MAP_AREA_GRAPHIC_PARAM          MapAreaGraphicParam.param                    24
MAP_OBJECT_BONFIRE_PARAM        MapObjectBonfireParam.param                  48
MAP_OBJECT_BREAK_ACTION_PARAM   MapObjectBreakActionParam.param              12
MAP_OBJECT_CHRSPEED_SCALE_PARAM MapObjectChrSpeedScaleParam.param             4
MAP_OBJECT_DOOR_PARAM           MapObjectDoorParam.param                     12
MAP_OBJECT_GD_PARAM             MapObjectGDParam.param                       64
MAP_OBJECT_INSTANCE_PARAM       MapObjectDefaultInstanceParam.param          40
MAP_OBJECT_INSTANCE_TYPE_PARAM  MapObjectInstanceTypeParam.param             36
MAP_OBJECT_MOMENTUM_SCALE_PARAM MapObjectDamageMomentumScaleParam.param      64
MAP_OBJECT_PARAM                MapObjectParam.param                         28
MAP_OBJECT_TORCH_PARAM          MapObjectTorchParam.param                     8
MAP_OBJECT_WEIGHT_PARAM         MapObjectWeightParam.param                    8
MAP_OBJECT_WHITE_DOOR_PARAM     MapObjectWhiteDoorParam.param                32
MAP_STATEACT_PARAM              MapStateActParam.param                       12
MAP_VOLUME_FOG_PARAM            MapVolumeFogParam.param                      12
MATERIAL_PARAM                  MaterialParam.param                           4
MENU_CATEGORY_ICON_PARAM        MenuCategoryIconParam.param                   8
MENU_STATS_PARAM                MenuStatsParam.param                         60
MODEL_LINK_LOD_TYPE_PARAM       ModelLinkLodTypeParam.param                  22
MOVEMENT_ACTION_PARAM           MovementActionParam.param                    64
MOVIE_TEXT_PARAM                MovieTextParam.param                         12
NETWORK_AREA_PARAM              NetworkAreaParam.param                       28
NETWORK_MESSAGE_PARAM           NetworkMessageParam.param                    88
NETWORK_PARAM                   NetworkParam.param                          588
NOISE_PARAM                     CameraNoiseParam.param                       40
NPC_EVENT_PARAM                 NpcEventParam.param                          48
NPC_GENERATE_PARAM              NPCGenerateParam.param                       76
NPC_INFO_PARAM                  NpcInfoParam.param                           48
NPC_NAME_SWAP_PARAM             NpcNameSwapParam.param                        8
NPC_PLAYER_SKIN_PARAM           NpcPlayerSkinParam.param                     16
NPC_PLAYER_STATUS_PARAM         NpcPlayerStatusParam.param                  212
ONLINE_EVENT_PARAM              OnlineEventParam.param                       16
PAD_RUMBLE_PARAM                PadRumbleParam.param                         32
PHYS_STATS_PER_LEVEL_STAT_PARAM PhysicalStatsPerLevelStatValuesParam.param  148
PHYSICS_TEXTURE_PARAM           PhysicsTextureParam0.param                   28
PLAY_AREA_PARAM                 PlayAreaParam.param                          16
PLAYER_ACTION_PARAM             PlayerActionParam.param                      44
PLAYER_COMMAND_PARAM            PlayerCommandParam.param                    104
PLAYER_COMMON_PARAM             PlayerCommonParam.param                     384
PLAYER_LIGHT_PARAM              PlayerLight.param                            60
PLAYER_MOVEMENT_PARAM           PlayerMovementParam.param                   192
PLAYER_STATUS_ITEM_PARAM        PlayerStatusItemParam.param                 120
PLAYER_STATUS_PARAM             DbgPlayerStatusParam.param                  296
PLAYER_STATUS_PARAM             PlayerStatusParam.param                     296
PLURSL_SELECT_MENU_PARAM        PluralSelectMenuParam.param                  20
POINT_OF_ATTACK_WEIGHT_PARAM    PlayerPointOfAttackWeightParam.param         12
POISE_DAMAGE_PARAM              PoiseDamageParam.param                       40
REINFORCE_COST_PARAM            ReinforceCostParam.param                    100
REINFORCE_SPEC_PARAM            ReinforceSpecParam.param                     12
RELATE_PHYS_STAT_TO_LEVEL_STAT  RelatePhysicalStatToLevelStatParam.param     38
RESULT_EVENT_PARAM              ResultEventParam.param                       24
RING_PARAM                      RingParam.param                              16
SHOP_LINEUP_PARAM               ShopLineupParam.param                        36
SLIDE_FLOOR_PARAM               SlideFloorParam.param                        20
SOUND_FOOT_PARAM                SoundFootParam.param                          4
SOUND_OBJECT_BREAK_PARAM        SoundObjectBreakParam.param                   4
SOUND_RESIDENT_PARAM            SoundResidentParam.param                      4
SOUND_SPECIAL_EQUIPMENT_PARAM   SoundSpecialEquipmentParam.param              4
SPELL_PARAM                     SpellParam.param                            264
SPELL_SOUL_CONSUME_PARAM        SpellSoulConsumeParam.param                  48
SPELLBOOK_REINFORCE_PARAM       SpellbookReinforceParam.param                12
STAMINA_PARAM                   StaminaParam.param                           32
STEP_AVOID_PARAM                PlayerStepAvoidParam.param                   24
TARGETABLE_BODY_REGIONS_PARAM   TargetableBodyRegionsParam.param              4
TORCH_CTRL_PARAM                TorchCtrlParam.param                         12
TORCH_OFF_CTRL_PARAM            TorchOffCtrlParam.param                      16
UNIT_TEST_PARAM                 UnitTestParam.param                          16
VOW_PARAM                       VowParam.param                                8
WEAPON_ACTION_CATEGORY_PARAM    WeaponActionCategoryParam.param             256
WEAPON_ATTACK_MOTION_PARAM      WeaponAttackMotionParam.param                80
WEAPON_PARAM                    WeaponParam.param                           188
WEAPON_REINFORCE_PARAM          WeaponReinforceParam.param                  244
WEAPON_STAMINA_COST_PARAM       WeaponStaminaCostParam.param                256
WEAPON_STATS_AFFECT_PARAM       WeaponStatsAffectParam.param                404
WEAPON_TYPE_PARAM               WeaponTypeParam.param                       316
